accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,AT2G16280,AT1G20330,AT3G05630,AT3G11170,AT3G11210,AT3G19260,AT3G56040,AT3G56080,AT4G11830,AT4G17600,AT4G23700,AT4G23710,AT5G16230,AT5G16240,AT5G22500,AT5G59590,acMGDG(18:3-2O/36:8-2O),acMGDG(18:3-3O/36:8-2O),Campesterol-Glc(16:0),Campesterol-Glc(18:3),Campesterol-Glc(18:2),GlcCer(34:1)-2,GlcCer(34:1)-3,GlcCer(40:1)-3,GlcCer(42:2)-3,Campesterol-Glc,DGDG(18:3/7:1-2O),DGDG(18:3/16:2),DGDG(18:3/16:1),DGDG(18:2/18:3),DGDG(18:1/18:3),MGDG(18:3/16:2),PC(16:0/16:1),PC(16:0/16:0),PE(20:1/18:3),PG(18:2/16:0),SQDG(32:0),SQDG(34:3),SQDG(36:6)
6217,TFÄ 07,CS77363,18.3283,63.0169,Sweden,1694,2902,136,17873,296,770,2470,241,682,2175,1118,1309,14,231,260,9,0.001335158,0.000339342,0.00715591,0.008432848,0.006016289,0.335134705,0.455234418,0.205469318,0.628549897,0.080340193,0.007059821,0.134965695,0.577800439,0.290979659,0.394493495,0.368171071,0.091869088,0.087042033,0.009356159,0.758217478,0.01135499,0.464481484,0.169251158
6268,TV-22,CS78768,14.3336,55.5796,Sweden,4789,6047,286,12934,90,312,2104,967,846,4000,35,1278,15,496,480,5,0.000812605,0.000334527,0.005770464,0.006910625,0.004636602,0.262479792,0.338137055,0.197064643,0.636735688,0.102813831,0.010562957,0.170372248,0.657532012,0.305559995,0.331041952,0.400983077,0.1185707,0.119009143,0.012277189,0.662016125,0.009412632,0.421776728,0.125871646
6445,ZdrI 2-21,CS78876,16.2544,49.3853,Czech Republic,3196,3214,182,14546,208,858,3031,675,664,4937,387,1050,17,414,443,25,0.001795232,0.000508308,0.008678259,0.009283829,0.007495694,0.239652272,0.298393041,0.233492327,0.620137329,0.103450706,0.008380806,0.174350322,0.772514079,0.29220766,0.308793184,0.372316086,0.109650558,0.104261733,0.011655603,0.702619535,0.00569198,0.386876214,0.144827961
7058,Bur-0,CS76734,-6.2,54.1,Ireland,2347,2314,385,7036,259,558,2158,1112,269,2954,75,1305,20,338,744,15,0.001254091,0.000357552,0.010205326,0.008504412,0.006342556,0.302136522,0.519322695,0.187378203,0.659485004,0.129903845,0.007558337,0.150725611,0.822318971,0.374920548,0.332001525,0.330927125,0.126137681,0.117414409,0.01129892,0.706659034,0.011475939,0.344573977,0.151380643
6907,CIBC-17,CS76770,-0.6383,51.4083,UK,2879,3484,70,10202,333,499,2295,1007,603,4449,68,1936,23,258,234,21,0.000396686,0.000342079,0.007412347,0.00648206,0.005308077,0.326257172,0.369426637,0.245434585,0.643031923,0.074637225,0.00604391,0.171819075,0.922258313,0.304331067,0.392422838,0.343418802,0.150862698,0.155318025,0.009330646,0.742056858,0.010414878,0.425257453,0.129650971
6908,CIBC-5,CS78894,-0.6383,51.4083,UK,3099,3364,283,15761,304,517,1859,499,1541,3702,16,1174,23,253,612,8,0.000505973,0.000379077,0.013547244,0.011333911,0.009873781,0.331142464,0.473059029,0.246673434,0.553570764,0.134412324,0.010565645,0.168662743,0.800059936,0.33426938,0.317195846,0.439421226,0.122562831,0.123985273,0.010746672,0.762707154,0.012778839,0.372185616,0.109552527
6909,Col-0,CS76778,-92.3,38.3,US,1368,2415,525,7789,105,478,971,385,3574,1421,3165,570,30,241,1496,108,0.000648489,0.000329332,0.006746251,0.006928745,0.005786913,0.290759382,0.401058644,0.132002081,0.617772415,0.083624483,0.008626865,0.242870516,0.624103973,0.538255798,0.311133036,0.626854397,0.081098552,0.077383458,0.010408837,0.691417688,0.010004505,0.445544313,0.132850907
7067,Ct-1,CS76786,15,37.3,Italy,2634,2827,154,9732,130,370,2737,1947,61,2379,53,822,15,207,566,27,0.000910565,0.0002544,0.006841285,0.008632167,0.004961149,0.23411404,0.34006136,0.19399084,0.565078647,0.129833019,0.007768964,0.222568955,0.4516132,0.307294844,0.415401922,0.457425241,0.065658028,0.073551972,0.011077783,0.660109653,0.006239328,0.465620186,0.13448255
6911,Cvi-0,CS76789,-23.6167,15.1111,Cape Verde,2170,3622,105,14861,389,396,2041,567,711,2407,29,1300,23,509,924,12,0.00094638,0.000353099,0.006634281,0.005216733,0.005313003,0.27734575,0.417961053,0.167603974,0.710768802,0.096498383,0.009212065,0.193312688,0.523851162,0.408797761,0.366312789,0.425351211,0.088987701,0.093746057,0.009171797,0.897163106,0.013076671,0.343991013,0.106466316
7111,Edi-0,CS76831,-3.16028,55.9494,UK,3368,4617,198,10800,133,490,2198,381,748,3820,112,1615,18,468,839,30,0.000490432,0.000318781,0.005288963,0.00539164,0.00391558,0.337807122,0.399888768,0.232231085,0.669289957,0.056649147,0.007708671,0.159362944,0.587501455,0.290058931,0.323509726,0.399434635,0.131298419,0.120807226,0.010318718,0.643724799,0.008046914,0.379883922,0.119963255
